,2019,2020,2021,2022
Sales/Revenue/Turnover,1531,1886,2114,2589
+ Sales & Services Revenue,1531,1886,2114,2589
- Cost of Revenue,445,530,624,783
+ Cost of Goods & Services,445,530,624,783
Gross Profit,1086,1355,1491,1806
+ Other Operating Income,0,0,0,0
- Operating Expenses,653,831,973,1179
"+ Selling, General & Admin",109,133,151,177
+ Research & Development,0,0,0,0
+ Other Operating Expense,545,698,821,1002
Operating Income (Loss),432,524,518,626
- Non-Operating (Income) Loss,28,-303,-136,-44
"+ Interest Expense, Net",174,172,142,94
+ Interest Expense,174,172,142,94
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-145,-475,-278,-139
Pretax Income,404,827,654,671
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,404,827,654,671
- Net Extraordinary Losses (Gains),82,112,166,298
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,82,112,166,298
Income (Loss) Incl. MI,322,715,488,373
- Minority Interest,-41,-56,-83,-149
"Net Income, GAAP",363,771,571,522
- Preferred Dividends,3,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",360,771,571,522
Basic Weighted Avg Shares,112,126,147,162
"Basic EPS, GAAP",3.21,6.11,3.89,3.23
Basic EPS from Cont Ops,3.60,6.56,4.45,4.15
Diluted Weighted Avg Shares,113,126,147,162
"Diluted EPS, GAAP",3.20,6.10,3.87,3.23
Diluted EPS from Cont Ops,3.59,6.54,4.44,4.15
EBITDA,977,1222,1339,1554
EBITDA Margin (%),63.80,64.81,63.34,60.03
EBITA,432,524,518,552
EBIT,432,524,518,626
Gross Margin (%),70.91,71.88,70.51,69.75
Operating Margin (%),28.24,27.79,24.51,24.19
Profit Margin (%),23.72,40.89,27.02,20.15
Sales per Employee,3488146,4011994,3782021,4365872
Dividend per Share,4.02,4.23,4.46,4.69
Depreciation Expense,545,698,821,1002
