,2019,2020,2021,2022
Total Current Assets,253,605,423,866
"+ Cash, Cash Equivalents & STI",190,569,361,825
+ Cash & Cash Equivalents,190,569,361,825
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,11,7,7,8
"+ Accounts Receivable, Net",11,7,7,8
"+ Notes Receivable, Net",0,3,13,20
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,-3,-13,-20
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,53,29,54,33
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,18137,22223,29797,34658
"+ Property, Plant & Equip, Net",744,983,1262,1346
"+ Property, Plant & Equip",744,983,1262,1346
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,1487,1943,1915,1654
+ LT Investments,1487,1943,1915,1654
+ LT Receivables,0,0,0,0
+ Other LT Assets,15906,19296,26620,31659
+ Total Intangible Assets,0,0,0,0
+ Goodwill,0,0,0,0
+ Other Intangible Assets,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,15906,19296,26620,31659
Total Assets,18391,22828,30219,35523
+ Payables & Accruals,1447,1821,2394,2680
+ Accounts Payable,1320,1670,2210,2471
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,126,151,184,209
+ ST Debt,384,100,270,0
+ ST Borrowings,384,100,270,0
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,0,0,0,0
+ Deferred Revenue,276,277,327,450
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,-276,-277,-327,-450
Total Current Liabilities,1831,1921,2664,2680
+ LT Debt,6393,7463,8522,10160
+ LT Borrowings,6393,7463,8522,10160
+ LT Finance Leases,272,346,435,407
+ Other LT Liabilities,0,0,0,0
+ Accrued Liabilities,3,4,12,18
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,-3,-4,-12,-18
Total Noncurrent Liabilities,6393,7463,8522,10160
Total Liabilities,8224,9384,11186,12840
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,8876,11732,16197,18993
+ Common Stock,1,1,2,2
+ Additional Paid in Capital,8874,11731,16195,18991
- Treasury Stock,0,0,0,0
+ Retained Earnings,0,0,0,0
+ Other Equity,-10,-7,-7,-21
Equity Before Minority Interest,8866,11726,16190,18972
+ Minority/Non Controlling Interest,1301,1718,2844,3711
Total Equity,10166,13444,19033,22683
Total Liabilities & Equity,18391,22828,30219,35523
Shares Outstanding,121,137,158,171
Capital Leases - Total,272,346,435,407
Net Debt,6588,6995,8431,9335
Net Debt to Equity,64.80,52.03,44.29,41.15
Tangible Common Equity Ratio,55,59,63,64
Current Ratio,0.14,0.31,0.16,0.32
Cash Conversion Cycle,0,-1027.43,-1134.39,-1089.92
Number of Employees,439,470,559,593
