,2019,2020,2021,2022
Total Current Assets,162,363,596,771
"+ Cash, Cash Equivalents & STI",40,217,420,613
+ Cash & Cash Equivalents,40,217,420,613
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,0,18,19,0
"+ Accounts Receivable, Net",0,18,19,0
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,122,127,157,158
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,18959,18837,19306,19687
"+ Property, Plant & Equip, Net",125,155,147,143
"+ Property, Plant & Equip",125,155,147,143
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,166,203,216,212
+ LT Investments,166,203,216,212
+ LT Receivables,0,0,0,0
+ Other LT Assets,18668,18479,18943,19331
+ Total Intangible Assets,0,0,0,0
+ Goodwill,0,0,0,0
+ Other Intangible Assets,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,18668,18479,18943,19331
Total Assets,19121,19199,19902,20458
+ Payables & Accruals,629,642,635,659
+ Accounts Payable,92,94,64,73
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,537,549,572,586
+ ST Debt,0,0,0,0
+ ST Borrowings,0,0,0,0
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,0,0,0,0
Total Current Liabilities,629,643,636,659
+ LT Debt,7296,7564,8104,8316
+ LT Borrowings,7296,7564,8104,8316
+ LT Finance Leases,140,181,166,163
+ Other LT Liabilities,831,880,862,885
+ Accrued Liabilities,62,56,0,0
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,770,824,862,885
Total Noncurrent Liabilities,8128,8444,8966,9202
Total Liabilities,8128,8444,8966,9202
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,10738,10666,10718,10767
+ Common Stock,1,1,1,1
+ Additional Paid in Capital,10737,10664,10716,10765
- Treasury Stock,0,0,0,0
+ Retained Earnings,283,126,241,485
+ Other Equity,-32,-40,-26,1
Equity Before Minority Interest,10990,10752,10933,11254
+ Minority/Non Controlling Interest,3,3,3,3
Total Equity,10993,10755,10936,11256
Total Liabilities & Equity,19121,19199,19902,20458
Shares Outstanding,141,140,140,140
Capital Leases - Total,140,181,166,163
Net Debt,7257,7347,7683,7703
Net Debt to Equity,66.01,68.32,70.25,68.43
Tangible Common Equity Ratio,57,56,55,55
Current Ratio,0.26,0.56,0.94,1.17
Cash Conversion Cycle,0,-39.74,-30.70,-25.80
Number of Employees,3122,3090,2927,2947
