,2019,2020,2021,2022
Sales/Revenue/Turnover,2325,2301,2295,2593
+ Sales & Services Revenue,2325,2301,2295,2593
- Cost of Revenue,768,823,854,919
+ Cost of Goods & Services,768,823,854,919
Gross Profit,1557,1478,1441,1674
+ Other Operating Income,0,0,0,0
- Operating Expenses,720,768,828,906
"+ Selling, General & Admin",58,60,70,74
+ Research & Development,0,12,3,17
+ Other Operating Expense,662,695,755,815
Operating Income (Loss),837,710,613,769
- Non-Operating (Income) Loss,38,-114,-397,-382
"+ Interest Expense, Net",204,214,220,230
+ Interest Expense,204,214,220,230
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-166,-328,-618,-612
Pretax Income,799,824,1010,1151
- Income Tax Expense (Benefit),13,-3,6,15
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,786,828,1004,1136
- Net Extraordinary Losses (Gains),0,0,0,-1
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,-1
Income (Loss) Incl. MI,786,828,1004,1137
- Minority Interest,0,0,0,0
"Net Income, GAAP",786,828,1004,1137
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",786,828,1004,1137
Basic Weighted Avg Shares,139,140,140,140
"Basic EPS, GAAP",5.64,5.89,7.19,8.14
Basic EPS from Cont Ops,5.64,5.89,7.19,8.14
Diluted Weighted Avg Shares,140,140,140,140
"Diluted EPS, GAAP",5.63,5.89,7.19,8.12
Diluted EPS from Cont Ops,5.63,5.89,7.19,8.12
EBITDA,1498,1418,1371,1584
EBITDA Margin (%),64.46,61.61,59.76,61.07
EBITA,837,710,613,769
EBIT,837,710,613,769
Gross Margin (%),66.96,64.23,62.79,64.56
Operating Margin (%),36.00,30.87,26.70,29.64
Profit Margin (%),33.81,35.96,43.76,43.83
Sales per Employee,744595,744745,784028,880029
Dividend per Share,6.03,6.29,6.36,6.37
Depreciation Expense,662,707,759,815
