,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,69,69,66,63,62,62,63,63,64,61
Diluted Weighted Avg Shares,70,70,69,65,63,62,63,64,64,65
Basic Weighted Avg Shares,68,69,68,65,62,62,62,62,63,63
Revenue per Share,21.82,21.32,19.34,22.25,26.96,32.82,35.60,39.90,59.62,72.32
EBITDA per Share,5.70,4.72,3.83,3.99,4.88,6.56,6.99,8.80,13.31,11.47
Operating Income per Share,5.16,4.21,3.23,3.15,4.05,5.79,6.01,7.69,11.85,9.00
"Basic EPS, GAAP",2.56,2.55,1.14,1.52,2.57,3.86,4.09,5.63,8.78,6.33
Basic EPS from Cont Ops,2.56,2.55,1.14,1.52,2.60,3.91,4.07,5.58,8.88,6.48
"Diluted EPS, GAAP",2.51,2.49,1.12,1.51,2.54,3.83,4.03,5.50,8.57,6.18
Diluted EPS from Cont Ops,2.51,2.49,1.12,1.51,2.57,3.88,4.01,5.45,8.66,6.32
Dividend per Share,5.04,0.01,0.02,0.00,0,0,0,0,0,0
Cash Flow per Share,3.82,3.69,2.77,3.90,4.21,4.01,4.99,7.81,6.56,0.93
Free Cash Flow per Basic Share,3.37,3.19,2.32,3.43,3.67,3.24,4.01,6.81,4.80,-0.44
Cash & Equivalents per Share,2.19,2.75,1.76,1.07,2.22,3.61,5.16,10.42,2.31,2.16
Book Value per Share,1.55,4.08,5.44,7.29,9.89,13.39,17.34,22.80,30.86,37.72
Tangible Book Value per Share,-3.75,0.86,0.08,-8.38,-5.67,-3.04,-0.14,4.92,-2.80,0.62
