,2019,2020,2021,2022
Sales/Revenue/Turnover,5121,4606,4742,5861
+ Sales & Services Revenue,5121,4606,4742,5861
- Cost of Revenue,2690,2598,2775,3559
+ Cost of Goods & Services,2690,2598,2775,3559
Gross Profit,2431,2008,1968,2302
+ Other Operating Income,0,0,0,0
- Operating Expenses,1172,1261,1172,1471
"+ Selling, General & Admin",127,128,127,150
+ Research & Development,0,0,0,0
+ Other Operating Expense,1046,1133,1045,1321
Operating Income (Loss),1259,747,796,831
- Non-Operating (Income) Loss,716,778,625,658
"+ Interest Expense, Net",556,514,490,530
+ Interest Expense,556,514,490,530
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,161,264,135,128
Pretax Income,543,-32,171,173
- Income Tax Expense (Benefit),3,10,9,7
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,582,1039,374,161
- Net Extraordinary Losses (Gains),-552,120,77,39
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,-552,120,77,39
Income (Loss) Incl. MI,1134,919,298,122
- Minority Interest,-98,-60,-38,-19
"Net Income, GAAP",1232,979,336,141
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",1232,979,336,141
Basic Weighted Avg Shares,402,415,425,462
"Basic EPS, GAAP",3.07,2.36,0.79,0.31
Basic EPS from Cont Ops,1.45,2.50,0.88,0.35
Diluted Weighted Avg Shares,404,417,427,465
"Diluted EPS, GAAP",3.05,2.35,0.79,0.30
Diluted EPS from Cont Ops,1.44,2.49,0.88,0.35
EBITDA,2302,1797,1849,2168
EBITDA Margin (%),44.95,39.01,38.99,36.99
EBITA,1275,758,812,857
EBIT,1259,747,796,831
Gross Margin (%),47.47,43.60,41.49,39.28
Operating Margin (%),24.58,16.22,16.79,14.18
Profit Margin (%),24.06,21.25,7.09,2.41
Sales per Employee,11560510,10888811,10220075,11401975
Dividend per Share,3.49,2.69,2.44,2.45
Depreciation Expense,1027,1038,1038,1310
