,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,881,861,1289,990,991,1042,1328,1261,1328,1393
"+ Cash, Cash Equivalents & STI",348,324,728,271,264,273,477,275,225,252
+ Cash & Cash Equivalents,348,324,728,271,264,273,477,275,225,252
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,425,445,453,590,615,664,711,820,947,974
"+ Accounts Receivable, Net",425,445,453,590,615,664,711,820,947,974
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,108,93,108,129,112,105,140,167,157,166
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,1312,1507,1591,2160,2314,2838,3562,6859,6841,6841
"+ Property, Plant & Equip, Net",88,97,-296,-171,-188,-235,-145,-155,-217,344
"+ Property, Plant & Equip",453,493,112,198,204,189,162,177,151,752
- Accumulated Depreciation,364,396,408,369,392,424,307,333,368,408
+ LT Investments & Receivables,25,33,49,63,80,100,142,194,222,242
+ LT Investments,25,33,49,63,80,100,142,194,222,242
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,1198,1376,1838,2268,2421,2973,3566,6820,6836,6255
+ Total Intangible Assets,986,1166,1210,1646,1749,2056,2258,5145,4562,4929
+ Goodwill,856,971,999,1159,1255,1500,1675,3720,3485,3462
+ Other Intangible Assets,130,196,210,486,494,556,584,1425,1077,1467
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,212,210,629,622,672,917,1307,1675,2274,1326
Total Assets,2192,2368,2880,3150,3305,3881,4890,8120,8169,8233
+ Payables & Accruals,238,239,485,663,671,712,830,1103,1115,1020
+ Accounts Payable,116,116,133,167,192,712,830,249,245,157
+ Accrued Taxes,35,29,50,80,25,69,39,43,41,70
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,87,95,302,415,454,-69,-38,811,829,793
+ ST Debt,0,0,125,0,0,0,400,40,45,1179
+ ST Borrowings,0,0,125,0,0,0,400,0,0,1179
+ ST Finance Leases,0,0,0,0,0,0,35,40,45,41
+ Other ST Liabilities,246,270,83,82,106,91,111,145,153,200
+ Deferred Revenue,62,73,83,82,106,91,111,185,199,200
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,185,197,0,0,0,0,0,-40,-45,0
Total Current Liabilities,484,509,693,745,777,803,1341,1288,1313,2398
+ LT Debt,524,689,898,1102,1053,1470,1388,3888,3793,2235
+ LT Borrowings,524,689,898,1102,1053,1470,1388,3888,3793,2235
+ LT Finance Leases,0,0,0,0,0,0,288,263,228,199
+ Other LT Liabilities,222,242,244,299,380,480,815,1135,1143,1360
+ Accrued Liabilities,121,137,132,156,133,247,302,598,662,884
+ Pension Liabilities,0,0,0,0,0,131,144,163,158,182
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,101,105,112,143,247,102,368,374,324,294
Total Noncurrent Liabilities,746,931,1141,1401,1433,1951,2202,5023,4936,3595
Total Liabilities,1230,1440,1834,2146,2210,2753,3543,6311,6250,5993
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,812,857,903,989,1050,1111,1180,1247,1346,1438
+ Common Stock,2,2,2,2,2,2,2,2,2,2
+ Additional Paid in Capital,811,856,901,988,1049,1109,1179,1246,1345,1437
- Treasury Stock,835,1040,1117,1399,1631,2000,2036,2031,2025,2026
+ Retained Earnings,974,1132,1298,1469,1727,2088,2303,2584,2824,3113
+ Other Equity,10,-21,-38,-56,-52,-71,-100,9,-226,-285
