,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,0.14,0.16,0.12,0.08,0.07,0.08,0.09,0.14,0.07,0.10
Current Ratio,1.10,1.09,1.10,1.04,1.01,1.02,0.99,1.03,0.95,0.92
Quick Ratio,0.62,0.63,0.63,0.59,0.56,0.56,0.56,0.58,0.46,0.50
CFO/Avg Current Liab,0.12,0.10,0.11,0.13,0.12,0.11,0.11,0.10,0.10,0.11
Common Equity/Total Assets,22.14,23.59,14.79,21.64,21.51,20.80,21.26,12.62,14.27,19.73
Long-Term Debt/Equity (%),86.73,86.37,62.75,57.98,58.62,75.05,119.13,572.13,0,0
Long-Term Debt/Capital (%),37.33,34.05,36.29,31.43,29.90,33.65,33.25,43.37,37.80,30.20
Long-Term Debt/Total Assets (%),17.29,15.18,11.55,11.98,11.18,12.17,13.05,12.72,10.18,9.67
Total Debt/Equity (%),103.89,103.94,78.30,67.82,68.43,78.46,140.08,650.41,-420.87,-489.60
Total Debt/Capital (%),44.71,40.98,45.28,36.77,34.90,35.17,39.10,49.30,44.22,36.55
Total Debt/Total Assets (%),20.71,18.27,14.42,14.02,13.05,12.73,15.35,14.47,11.92,11.71
CFO/Total Liabilities,7.57,7.01,7.96,9.81,8.89,8.07,8.02,7.14,6.81,8.08
CFO/CapEx,7.56,5.71,5.42,8.44,7.49,7.25,8.64,7.09,11.43,13.23
Altman's Z-Score,5.08,5.91,5.47,5.32,5.57,5.49,5.54,5.27,5.86,6.54
