,2019,2020,2021,2022
Price/Earnings,30.99,0,0,28.68
Price/Earnings Average,30.23,0,0,35.06
Price/Earnings High,34.30,0,0,45.86
Price/Earnings Low,24.29,0,0,22.08
Price/Book Value,21.63,0,0,13.43
Price/Book Value Average,21.10,0,0,16.41
Price/Book Value High,23.94,0,0,21.47
Price/Book Value Low,16.95,0,0,10.34
Price/Tangible Book Value,2.74,0,0,1.91
Price/Tangible Book Value Average,2.67,0,0,2.34
Price/Tangible Book Value High,3.03,0,0,3.06
Price/Tangible Book Value Low,2.15,0,0,1.47
Price/Sales,11.10,0,0,8.12
Price/Sales Average,10.83,0,0,9.92
Price/Sales High,12.28,0,0,12.97
Price/Sales Low,8.70,0,0,6.25
Price/Cash Flow,20.58,0,0,15.26
Price/Cash Flow Average,20.07,0,0,18.65
Price/Cash Flow High,22.77,0,0,24.39
Price/Cash Flow Low,16.12,0,0,11.75
Price/Free Cash Flow,21.38,0,0,15.75
Price/Free Cash Flow Average,20.86,0,0,19.25
Price/Free Cash Flow High,23.66,0,0,25.18
Price/Free Cash Flow Low,16.76,0,0,12.13
EV/Sales,14.86,3.48,3.77,11.18
EV/Sales Average,14.58,3.48,3.77,12.99
EV/Sales High,16.04,3.48,3.77,16.06
EV/Sales Low,12.45,3.48,3.77,9.30
EV/EBITDA,22.91,5.53,6.32,17.92
EV/EBITDA Average,22.49,5.53,6.32,20.83
EV/EBITDA High,24.74,5.53,6.32,25.75
EV/EBITDA Low,19.19,5.53,6.32,14.91
EV/EBIT,44.15,11.38,14.99,37.66
EV/EBIT Average,43.33,11.38,14.99,43.77
EV/EBIT High,47.68,11.38,14.99,54.13
EV/EBIT Low,36.99,11.38,14.99,31.34
Last Price,80.92,0,0,59.00
High Price,89.55,0,0,94.32
Low Price,63.41,0,0,45.43
Enterprise Value,40128,8945,9298,30573
Enterprise Value Average,39387,8945,9298,35532
Enterprise Value High,43335,8945,9298,43939
Enterprise Value Low,33620,8945,9298,25436
