,2019,2020,2021,2022
Market Capitalization,30076,0,0,22327
- Cash & Cash Equivalents,46,43,124,54
+ Preferred Equity and Hybrid Capital,37,37,37,37
+ Minority/Non Controlling Interest,692,577,731,528
+ Total Debt,9368,8373,8654,7734
Enterprise Value,40128,8945,9298,30573
Total Capital,11488,10391,11253,9962
Total Debt/Capital (%),81.55,80.58,76.90,77.64
Total Debt / EV,0.23,0.94,0.93,0.25
EV/Sales,14.86,3.48,3.77,11.18
EV/EBITDA,22.91,5.53,6.32,17.92
EV/EBIT,44.15,11.38,14.99,37.66
EV/Cash Flow to Firm,21.71,5.49,6.07,17.60
EV/Free Cash Flow to Firm,21.66,5.42,6.06,17.56
Diluted Market Cap,31262,0,0,22978
Diluted Enterprise Value,41314,8945,9298,31223
EV per Share,107.97,24.03,24.76,80.79
TTM Sales,2701,2572,2464,2735
TTM EBITDA,1752,1619,1472,1706
TTM Operating Income,909,786,620,812
TTM Cash Flow to Firm,1848,1630,1532,1737
TTM Free Cash Flow to Firm,1853,1650,1534,1741
