,2019,2020,2021,2022
Sales/Revenue/Turnover,3209,3904,4428,4692
+ Sales & Services Revenue,3209,3904,4428,4692
- Cost of Revenue,1180,1501,1761,2001
+ Cost of Goods & Services,1180,1501,1761,2001
Gross Profit,2029,2403,2667,2690
+ Other Operating Income,0,0,0,0
- Operating Expenses,1398,1726,1900,2005
"+ Selling, General & Admin",220,358,411,415
+ Research & Development,0,0,0,0
+ Other Operating Expense,1178,1367,1489,1590
Operating Income (Loss),631,677,767,685
- Non-Operating (Income) Loss,20,276,-1053,273
"+ Interest Expense, Net",287,313,298,290
+ Interest Expense,353,333,298,299
- Interest Income,66,20,0,9
+ Other Non-Op (Income) Loss,-267,-36,-1351,-17
Pretax Income,611,401,1820,412
- Income Tax Expense (Benefit),12,38,73,32
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,599,363,1747,380
- Net Extraordinary Losses (Gains),39,13,76,5
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,39,13,76,5
Income (Loss) Incl. MI,560,350,1671,375
- Minority Interest,-19,-6,-38,-2
"Net Income, GAAP",580,356,1709,378
- Preferred Dividends,75,77,46,41
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",505,280,1663,337
Basic Weighted Avg Shares,208,260,282,286
"Basic EPS, GAAP",2.42,1.08,5.89,1.18
Basic EPS from Cont Ops,2.88,1.39,6.19,1.33
Diluted Weighted Avg Shares,209,263,283,298
"Diluted EPS, GAAP",2.41,1.07,5.87,1.13
Diluted EPS from Cont Ops,2.86,1.38,6.17,1.28
EBITDA,1440,2043,2254,2263
EBITDA Margin (%),44.88,52.35,50.90,48.24
EBITA,277,677,767,685
EBIT,631,677,767,685
Gross Margin (%),63.23,61.55,60.23,57.34
Operating Margin (%),19.66,17.35,17.32,14.60
Profit Margin (%),18.07,9.13,38.60,8.05
Sales per Employee,2070478,1356362,1461348,1375098
Dividend per Share,4.78,4.76,4.88,5.07
Depreciation Expense,1164,1366,1487,1578
