,2019,2020,2021,2022
+ Net Income,599,363,1747,380
+ Depreciation & Amortization,809,1366,1487,1578
+ Non-Cash Items,136,-14,-1222,-69
+ Stock-Based Compensation,35,75,84,92
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,17,6,0,0
+ Other Non-Cash Adj,84,-95,-1306,-161
+ Chg in Non-Cash Work Cap,-31,-8,-310,-230
+ (Inc) Dec in Accts Receiv,-8,2,-426,-272
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,68,72,116,42
+ Inc (Dec) in Other,-90,-83,0,0
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1514,1707,1702,1659
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,0,0,0,0
+ Acq of Fixed Prod Assets,0,0,0,0
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-3,70,0,0
+ Dec in LT Investment,0,70,0,0
+ Inc in LT Investment,-3,0,0,0
+ Net Cash From Acq & Div,1297,-23,-192,-1930
+ Cash from Divestitures,1495,121,0,0
+ Cash for Acq of Subs,-198,-144,-192,-1930
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-1569,-2646,-870,-2769
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-275,-2599,-1062,-4699
+ Dividends Paid,-997,-1239,-1379,-1451
+ Net Cash From Debt,-494,710,817,1705
+ Cash From Debt,5969,7212,1824,2791
+ Repayments of Debt,-6462,-6502,-1007,-1086
+ Cash (Repurchase) of Equity,536,1880,172,928
+ Increase in Capital Stock,536,1880,172,928
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-317,-415,-200,1787
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-1272,936,-591,2969
Effect of Foreign Exchange Rates,-5,-16,-22,70
Net Changes in Cash,-33,43,50,-71
EBITDA,1440,2043,2254,2263
EBITDA Margin (%),44.88,52.35,50.90,48.24
Net Cash Paid for Acquisitions,-1297,23,192,1930
Free Cash Flow,1514,1707,1702,1659
Free Cash Flow to Firm,1860,2008,1989,1936
Free Cash Flow to Equity,0,1857,2254,3323
Free Cash Flow per Basic Share,7.27,6.56,6.03,5.80
Price/Free Cash Flow,16.57,21.46,29.43,18.00
Cash Flow to Net Income,2.61,4.79,1.00,4.39
