,2019,2020,2021,2022
Total Current Assets,625,712,814,1111
"+ Cash, Cash Equivalents & STI",90,109,143,142
+ Cash & Cash Equivalents,90,109,143,142
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,306,603,672,969
"+ Accounts Receivable, Net",306,603,672,969
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,230,0,0,0
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,22443,35365,35555,40374
"+ Property, Plant & Equip, Net",577,1239,1405,1351
"+ Property, Plant & Equip",629,1387,1405,1351
- Accumulated Depreciation,52,148,0,0
+ LT Investments & Receivables,1287,1148,1808,1991
+ LT Investments,1287,1148,1808,1991
+ LT Receivables,0,0,0,0
+ Other LT Assets,20579,32978,32342,37031
+ Total Intangible Assets,5633,11497,10673,12301
+ Goodwill,3363,8331,7937,9208
+ Other Intangible Assets,2270,3166,2735,3093
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,14946,21481,21669,24730
Total Assets,23068,36076,36370,41485
+ Payables & Accruals,1242,2312,1882,2233
+ Accounts Payable,1008,1988,1544,1869
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,235,324,339,364
+ ST Debt,234,532,398,2150
+ ST Borrowings,234,532,398,2150
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,3,0,0,0
+ Deferred Revenue,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,3,0,0,0
Total Current Liabilities,1479,2844,2281,4383
+ LT Debt,10582,14242,14562,15917
+ LT Borrowings,9888,12773,13050,14446
+ LT Finance Leases,694,1469,1512,1471
+ Other LT Liabilities,357,503,1003,1562
+ Accrued Liabilities,147,698,666,1193
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,210,-196,337,370
Total Noncurrent Liabilities,10939,14744,15565,17480
Total Liabilities,12419,17588,17846,21863
+ Preferred Equity and Hybrid Capital,1434,951,732,732
+ Share Capital & APIC,11579,20630,21079,22146
+ Common Stock,2,3,3,3
+ Additional Paid in Capital,11577,20627,21076,22143
- Treasury Stock,0,0,0,0
+ Retained Earnings,-3047,-3998,-3632,-4698
+ Other Equity,-88,135,-174,-596
Equity Before Minority Interest,9879,17718,18005,17583
+ Minority/Non Controlling Interest,770,771,519,2039
Total Equity,10650,18488,18524,19622
Total Liabilities & Equity,23068,36076,36370,41485
Shares Outstanding,209,280,284,291
Capital Leases - Total,694,1469,1512,1471
Net Debt,10033,13196,13306,16455
Net Debt to Equity,94.21,71.38,71.83,83.86
Tangible Common Equity Ratio,21,25,28,23
Current Ratio,0.42,0.25,0.36,0.25
Cash Conversion Cycle,0,-321.75,-313.43,-247.34
Number of Employees,1550,2878,3030,3412
