,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,1088,1262,1448,1519,351,1126,1999,4105,1463,2285
+ Depreciation & Amortization,1113,1156,1250,1312,1490,1549,1569,1666,1855,2019
+ Non-Cash Items,357,54,19,-381,1374,332,-310,-1823,-59,860
+ Stock-Based Compensation,0,0,0,52,82,83,75,71,63,71
+ Deferred Income Taxes,334,146,239,217,1160,-182,189,159,-78,392
+ Asset Impairment Charge,0,0,9,153,423,1122,43,1,3,0
+ Other Non-Cash Adj,23,-92,-229,-803,-291,-691,-617,-2054,-47,397
+ Chg in Non-Cash Work Cap,-774,-311,188,-131,124,144,-560,-306,583,-4022
+ (Inc) Dec in Accts Receiv,-273,106,-325,-281,135,-43,122,-106,85,360
+ (Inc) Dec in Inventories,116,-133,65,-20,-49,23,-22,-35,-87,-17
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,-28,109,-157,122,83,92,12,73,263,430
+ Inc (Dec) in Other,-589,-393,605,48,-45,72,-672,-238,322,-4795
+ Net Cash From Disc Ops,0,0,0,0,286,296,390,-1051,0,0
Cash from Operating Activities,1784,2161,2905,2319,3625,3447,3088,2591,3842,1142
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,1265,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,1265,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-2572,-3123,-3156,-4214,-3949,-3784,-3708,-4676,-5015,-5357
+ Acq of Fixed Prod Assets,-2572,-3123,-3156,-4214,-3949,-3784,-3708,-4676,-5015,-5357
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,214,-252,46,100,0,-10376,-1797,-652,-633,-314
+ Dec in LT Investment,933,601,577,1134,1314,890,914,1439,961,762
+ Inc in LT Investment,-719,-853,-531,-1034,-1314,-11266,-2711,-2091,-1594,-1076
+ Net Cash From Acq & Div,548,-91,173,-1571,-261,-10305,-1797,-652,0,0
+ Cash from Divestitures,570,149,373,11,9,71,0,0,0,0
+ Cash for Acq of Subs,-22,-240,-200,-1582,-270,-10376,-1797,-652,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-1144,124,52,799,-490,11908,2709,6533,140,632
+ Net Cash From Disc Ops,0,0,0,0,-454,-287,-4,5171,0,0
Cash from Investing Activities,-1689,-3342,-2885,-4886,-4700,-12557,-4593,553,-5508,-5039
+ Dividends Paid,-611,-599,-629,-687,-756,-967,-1135,-1331,-1430,-1474
+ Net Cash From Debt,293,1238,1138,894,1709,5664,629,187,-1716,4208
+ Cash From Debt,2081,3272,2992,2951,4509,9174,4296,6051,3773,9984
+ Repayments of Debt,-1788,-2034,-1854,-2057,-2800,-3510,-3667,-5864,-5489,-5776
+ Cash (Repurchase) of Equity,17,18,-22,-5,32,2251,1804,-555,-334,-474
+ Increase in Capital Stock,62,56,52,51,47,2272,1830,11,5,4
+ Decrease in Capital Stock,-45,-38,-74,-56,-15,-21,-26,-566,-339,-478
+ Other Financing Activities,639,197,-660,2311,22,2058,177,-674,4740,1519
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,338,854,-173,2513,1007,9006,1475,-2373,1260,3779
Effect of Foreign Exchange Rates,-4,-7,-14,-3,7,-14,1,-3,2,-1
Net Changes in Cash,433,-327,-153,-54,-68,-104,-30,771,-406,-118
EBITDA,2997,2938,3160,2933,3820,3942,4196,4499,4705,4576
EBITDA Margin (%),28.39,26.62,30.89,28.80,34.09,33.73,38.75,39.57,36.59,31.69
Net Cash Paid for Acquisitions,-548,91,-173,1571,261,10305,1797,652,0,0
Free Cash Flow,-788,-962,-251,-1895,-324,-337,-620,-2085,-1173,-4215
Free Cash Flow to Firm,-372,-517,198,-1460,-196,503,261,-1185,-517,-3597
Free Cash Flow to Equity,686,275,886,-1002,1384,5201,-134,-2067,-2953,-52
Free Cash Flow per Basic Share,-3.23,-3.91,-1.01,-7.57,-1.29,-1.26,-2.23,-7.16,-3.76,-13.37
Price/Free Cash Flow,5.12,5.38,3.93,3.87,3.56,4.00,6.27,5.06,4.66,7.52
Cash Flow to Net Income,1.77,1.86,2.15,1.69,14.11,3.28,1.40,0.66,2.92,0.53
